expCode;probCode;Experiment::time;Aufgabe1::time;Aufgabe1::PCAufgabe0;Aufgabe1::PCAufgabe0;Aufgabe1::answerAufgabe3a;Aufgabe1::beschreibungAufgabe3a;Aufgabe1::beschreibungAufgabe0;Aufgabe2::time;Aufgabe2::PCAufgabe0;Aufgabe2::PCAufgabe0;Aufgabe2::answerAufgabe3a;Aufgabe2::beschreibungAufgabe3a;Aufgabe2::beschreibungAufgabe0;Aufgabe3::time;Aufgabe3::PCAufgabe0;Aufgabe3::PCAufgabe0;Aufgabe3::answerAufgabe3a;Aufgabe3::beschreibungAufgabe3a;Aufgabe3::beschreibungAufgabe0;Aufgabe4::time;Aufgabe4::PCAufgabe0;Aufgabe4::PCAufgabe0;Aufgabe4::answerAufgabe3a;Aufgabe4::beschreibungAufgabe3a;Aufgabe4::beschreibungAufgabe0;Aufgabe5::time;Aufgabe5::PCAufgabe0;Aufgabe5::PCAufgabe0;Aufgabe5::answerAufgabe3a;Aufgabe5::beschreibungAufgabe3a;Aufgabe5::beschreibungAufgabe0;Aufgabe6::time;Aufgabe6::PCAufgabe0;Aufgabe6::PCAufgabe0;Aufgabe6::answerAufgabe3a;Aufgabe6::beschreibungAufgabe3a;Aufgabe6::beschreibungAufgabe0;Aufgabe7::time;Aufgabe7::PCAufgabe0;Aufgabe7::PCAufgabe0;Aufgabe7::answerAufgabe3a;Aufgabe7::beschreibungAufgabe3a;Aufgabe7::beschreibungAufgabe0;Aufgabe8::time;Aufgabe8::PCAufgabe0;Aufgabe8::PCAufgabe0;Aufgabe8::answerAufgabe3a;Aufgabe8::beschreibungAufgabe3a;Aufgabe8::beschreibungAufgabe0;Aufgabe9::time;Aufgabe9::PCAufgabe0;Aufgabe9::PCAufgabe0;Aufgabe9::answerAufgabe3a;Aufgabe9::beschreibungAufgabe3a;Aufgabe9::beschreibungAufgabe0;Aufgabe10::time;Aufgabe10::PCAufgabe0;Aufgabe10::PCAufgabe0;Aufgabe10::answerAufgabe3a;Aufgabe10::beschreibungAufgabe3a;Aufgabe10::beschreibungAufgabe0;Aufgabe11::time;Aufgabe11::PCAufgabe0;Aufgabe11::PCAufgabe0;Aufgabe11::answerAufgabe3a;Aufgabe11::beschreibungAufgabe3a;Aufgabe11::beschreibungAufgabe0;Aufgabe12::time;Aufgabe12::PCAufgabe0;Aufgabe12::PCAufgabe0;Aufgabe12::answerAufgabe3a;Aufgabe12::beschreibungAufgabe3a;Aufgabe12::beschreibungAufgabe0;Fragebogen::time;Seite1::time;Seite1::alter;Seite1::immatrikulationsjahr;Seite1::geschlecht;Seite1::geschlecht;Seite1::studiengang;Seite2::time;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::PE;Seite2::programmierjahre;Seite2::programmierkurse;Seite2::Java;Seite2::Java;Seite2::Java;Seite2::Java;Seite2::Java;Seite2::C;Seite2::C;Seite2::C;Seite2::C;Seite2::C;Seite2::Haskell;Seite2::Haskell;Seite2::Haskell;Seite2::Haskell;Seite2::Haskell;Seite2::Prolog;Seite2::Prolog;Seite2::Prolog;Seite2::Prolog;Seite2::Prolog;Seite2::weitereProgrammiersprachenanzahl;Seite3::time;Seite3::logisch (Prolog);Seite3::logisch (Prolog);Seite3::logisch (Prolog);Seite3::logisch (Prolog);Seite3::logisch (Prolog);Seite3::funktional (Haskell);Seite3::funktional (Haskell);Seite3::funktional (Haskell);Seite3::funktional (Haskell);Seite3::funktional (Haskell);Seite3::imperativ (C);Seite3::imperativ (C);Seite3::imperativ (C);Seite3::imperativ (C);Seite3::imperativ (C);Seite3::objekt-orientiert (Java);Seite3::objekt-orientiert (Java);Seite3::objekt-orientiert (Java);Seite3::objekt-orientiert (Java);Seite3::objekt-orientiert (Java);Seite3::grossesProgrammierprojekt;Seite3::grossesProgrammierprojekt;Seite3::zeitGrossesProgrammierprojekt;Seite3::domaeneGrossesProgrammierprojekt;Seite3::locProjekte;Seite3::locProjekte;Seite3::locProjekte;Seite4::time;Seite4::Kursteilnehmer;Seite4::Kursteilnehmer;Seite4::Kursteilnehmer;Seite4::Kursteilnehmer;Seite4::Kursteilnehmer;Seite4::Programmierer;Seite4::Programmierer;Seite4::Programmierer;Seite4::Programmierer;Seite4::Programmierer;Ende::time;
defaultMR;bx08;820806;307180;1;1;24;Fakultät;"10: Punkt zu viel
2: : statt ;

";158278;;;indexOf nicht bekannt;;"15: ; fehlt
17: "" fehlt";134924;1;1;19;größte Zahl in einem Zahlenarray finden;"10: Klammer fehtlt
5: Klammer fehlt
6: ><";200320;1;1;olleH;Bildet das Spiegelbild eines Wortes ;"2: ' statt ""
5: . statt ;";77033;1;1;42;Tauschen;"1: ) fehlt
4: int temp
8: ; fehlt";109481;1;1;8;2 hoch 3;"7: x
9: _
6: ,";247840;1;1;"ganz schon komplexer Algorithmus für so wenig Zeit ^^
4,5 ";;"2: , fehlt
6: do zu viel
7: : statt ;";623550;1;1;4 6 1;zahlen in einem array tauschen und array ausgeben;"10: ! 
6: array.length
4: fehlende Klammer";114426;1;1;8;Quersumme;"9: ; statt .
8: fehlende Klammer";118951;1;1;10;größte von 3 Zahlen ermitteln;"1: Strg
6: &&&
9: Sys
";180789;1;1;1;findet Anzahl gleicher Buchstaben in zwei Wörtern;6: <>;94006;1;1;100;Binärzahl einer Dezimalzahl ermitteln;"6: true
11: Klammer fehlt";3947;29641;26;2005;Weiblich;Weiblich;Dipl.-Informatik;276495;7;7;7;7;7;7;7;7;7;7;9;8;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;131399;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;Ja;Ja;3;Apps+Webanwendung;>40000;>40000;>40000;54241;3;3;3;3;3;1;1;1;1;1;29281;null vom Key
defaultMR;de02;43670;210721;0;0;24;Produkt zweier Zahlen berechnen wobei eine Zahl stets verringert wird und das Ergebnis ein Faktor ist.;6. Es wird der Gleichheitsoperator == verwendet, nicht der Zuweisungsoperator =;181226;1;1;"Substring is contained: Java
Substring ist not contained: Pascal";Prüft ob Worte in Strings enthalten sind und gibt das Ergebnis der Prüfung aus;10. + fehlt für Stringverknüpfung;216570;0;0;17;Vergleicht Feldelemente und weist bei Ungleichheit die Zahl aus dem Feld der Ergebnisvariable zu.;"6: Ungleichoperator benötigt !=
10: ) fehlt";81736;0;0;olleH;Gibt Hello rückwärts aus;"2: "" statt ' benötigt";58698;1;1;42;Vertauscht den Wert zweier Variablen;4: Leerzeichen fehlt nach int;126418;0;0;8;Multipliziert zwei Zahlen, Ergebnis ist Faktor;"7: x statt * verwendet
9: out.println benötigt";217236;0;0;6,5;Berechnet Summe von Fließkommazahlen;"2: Komma fehlt
6: do gehört nicht zu if-Schleife";199830;0;0;"4
6
1";Vertauscht Werte im Array und gibt diese dann nacheinander aus;"6: array.length benötigt
10: 1 statt ! benötigt";86924;0;0;3;Teilt eine Zahl durch 10 und weist den Rest einem Ergebnis zu.;9: . statt :;91613;0;0;10;Vergleicht 3 Zahlen;"6: ein & zu viel
8: Vergleichsoperator fehlt
9: System statt Sys";124918;0;0;0;Vergleicht die Buchstaben zweier Strings;6: > statt <>;99856;0;0;1;Teilt eine Zahl und vergleicht den Rest;6: 0 statt true;3756;17594;28;2003;Weiblich;Weiblich;Wirtschaftsinformatik;78631;6;6;6;6;6;6;6;6;6;6;10;6;3;3;3;3;3;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;3;93871;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;3;Ja;Ja;2 Jahre;Webapplikationsentwicklung;900-40000;900-40000;900-40000;35412;3;3;3;3;3;1;1;1;1;1;45131;null vom Key
defaultMR;dv14;35800;105590;1;1;24;Fakultät;"2 : ;
6 == =
10 .
";198229;1;1;"Substring is contained: Java
Substring is not contained: Pascal";Substringsuche;"17 ' """;92789;0;0;19;Maximum;"5   geschweifte Klammer fehlt
6 >< >
10 ) fehlt
";93959;1;1;elloH;String reverse;"1 args fehlt
2 ' ""
";63727;1;1;42;swap;"1 ( )
4 Leerzeichen fehlt
8 ; fehlt";120260;1;1;8;Zweierpotenz;"6 m ;
7 x *
9 _ .
";81916;1;1;4,50;median;"2 , fehlt
6 do zu viel
7 : ;
";114801;1;1;"4
6
1
";Array reverse;"6 : .
10 ! 1
";119996;1;1;8;Quersumme;9 : .;51542;1;1;10;Maximum;"6 &&& &&
8 > fehlt
10 ( fehlt
";108780;1;1;1;gleiche Buchstaben zählen;"6 <> >
eine { zu viel
13 ) fehlt
";121712;1;1;100;Binärformatierung;"} fehlt
then
";5912;13650;30;2000;Männlich;Männlich;Ingenieurinformatik;290831;7;7;7;7;7;7;7;7;7;7;1992;>>10;2;2;2;2;2;4;4;4;4;4;0;0;0;0;0;1;1;1;1;1;4;173815;1;1;1;1;1;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;Ja;Ja;12;Automatisierung, VR/AR;>40000;>40000;>40000;33104;4;4;4;4;4;2;2;2;2;2;65661;null vom Key
defaultMR;iz65;45443;203611;1;1;24;Fakultät;"2, doppelpunkt statt semikolon
6, == statt =
10, punkt zuviel";172443;1;1;"Substring is contained: Java
Substring is not contained: Pascal";sin Strings in String enthalten;"10, + fehlt
15, semikolon fehlt
17, "" fehlt";134738;1;1;19;größte zahl des array ausgeben;"1, leerzeichen zuviel
6, >< statt >=
10, Klammer fehlt";72899;1;1;olleH;Rückwärtsuasgabe;"1, übergabe-variable fehlt
2, ungleiche hochkomma genutzt
5, komma statt semikolon";45584;1;1;42;zahlen tauschen;"1, Klammer zu fehlt
4, leerzeichen fehlt
8, semikolon fehlt";123288;1;1;8;2 hoch 3;"6, komma statt semikolon
7, x statt mal
9, _ statt .";201240;1;1;zeit zu knapp :-P;zeit zu knapp :-P;"2, komma fehlt
7, doppelpunkt statt semikolon
6, do zuviel";226418;1;1;461;hinten und vorne tauschen;"6, : statt .
10, ! statt 1";93491;1;1;8;quersumme;"1, main fehlt
8, fehlende K }
9, : statt .";67564;1;1;10;größte der drei zahlen;"6, &&&
8, > fehlt
9, Sys statt System";175267;1;1;1;gleiche buchstaben bis kürzeste wortlänge;"13, klamer zuviel oder zu wenig
";119340;1;1;100;binarisieren;"6, then
10, klamer fehlt";6520;15584;29;2003;Männlich;Männlich;Informatik;146609;7;7;7;7;7;7;7;7;7;7;15;04. Mai;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;80513;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;4;4;4;4;4;Ja;Ja;5 jahre;Webapplikationen;>40000;>40000;>40000;62119;4;4;4;4;4;2;2;2;2;2;97750;null vom Key
defaultMR;jw55;362037;204563;;;24;n!;"6, ==
10, .";130962;1;1;"Substring is contained: Java
Substring is not containes: Pascal";Teilstring enthalten?;"17, ""
15, ;";80277;;;19;Bestimme Max;"6, ><
10, )
5, {";137966;;;olleH;Wort invertieren;"2, ""
5, ;";74022;;;42;Sortiere (dazu: Vertausche);"1, )
4, Leerzeichen
8, ;";51449;;;8;n^m;"6, ;
7, x
9, _";100745;;;zu wenig zeit, aber versuch war da...;;"2, ,
9, )";154674;;;erneut versucht, aber gescheitert... :(;;"6, :
4,{
10, !";44835;;;8;Quersumme;"8, }
9, :";64397;;;10;bestimme absolutes Max.;"1, String
6, &
8, >";63633;;;1;Zähle identische Buchstaben an gleichen Positionen.;"6, <>
";47705;;;100;Binärdarstellung;"11, }
6, true
6, then";7239;19547;25;2007;Männlich;Männlich;Mathematik;80512;2;2;2;2;2;2;2;2;2;2;8;5;2;2;2;2;2;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;4;42993;0;0;0;0;0;1;1;1;1;1;3;3;3;3;3;2;2;2;2;2;Nein;Nein;;;;;;23837;2;2;2;2;2;0;0;0;0;0;16177;null vom Key
defaultMR;kf44;20830;242667;0;0;512;Exponentenberechnung;"6, doppeltes =
10, . muss weg";153207;1;1;"Substring is contained: Java
Substring is not contained: Pascal";Prüfung ob Filterstring enthalten ist;"17 fehlendes """;143725;1;1;19;Suchalgorithmus nach der größten Zahl;"6 >< es geht nur eins
5 fehlende geschweifte Klammer bei der for
10 fehlende ) vor dem Semikolon";83112;0;0;ollaH;dreht den gegebenen String um;"2 ' muss ein "" sein
5 , muss ein ;";86003;1;1;42;Tauscht die beiden Variablen;"4 leerzeichen zwischen int und temp
8 fehlendes Semikolon
";88015;1;1;8;Exponentenrechnung;"7 x sollte ein * sein
9 _ sollte ein . sein
6 , muss ein ; sein";166421;0;0;6;sortiert das Feld und addiert immer n/2-1 und die n/2 zahl;"6 do gehört da nicht hin
2 fehlendes Komma zwischen 5 und 6
";117016;1;1;"4
6
1";dreht das Array um;"4 fehlende {
10 ! muss eine zahl sein";79217;1;1;8;bilde die Quersumme aus der gegebenen Zahl;"8 fehlende }
9 : muss ein . sein";77175;0;0;10;Findet die größte Zahl aus den gegeben Werten;"6 ein & muss weg
8 fehlendes >
10 fehlende (";97001;1;1;1;Vergleicht 2 String auf übereinstimmung und zählt diese;"6 <> es geht nur eins
13 fehlende )
13 fehlende {";131852;1;1;100;wandelt eine gegeben Zahl in dessen binärcode um;6 == true geht nicht, sollte 0 sein;5616;20967;26;2010;Männlich;Männlich;Informatik;97393;6;6;6;6;6;6;6;6;6;6;12;7;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;C#;83616;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;3;3;3;3;3;Ja;Ja;6 Monate;Webanwendung;900-40000;900-40000;900-40000;20716;2;2;2;2;2;1;1;1;1;1;47674;null vom Key
defaultMR;ki47;217948;177325;1;1;24;1*2*3*4;"6, == anstatt =
10, Punkt vor Semikolon
2, : statt ;";100948;1;1;"Substring is contained: Java
Substring is not contained: Pascal";Prüfung ob zwei Wörter in Wortgruppe sind;"10, + fehlt
15, Semikolon fehlt
17, "" fehlt";81605;1;1;19;sucht größtes Elem in Array;"6, ><
5, { fehlt
10, ) fehlt";134909;1;1;olleH;"das Wort ""word"" umdrehen";"2, falsch endendes Hochkomma
5, Komma statt ;
";101103;1;1;42;Vertauschen der Variablenwerte;"5, Leerzeichen nach int fehlt
8, Semikolon fehlt
1, ) fehlt";243064;1;1;8;Schleife wird zweimal durchlaufen und result (initial = 2) wird mit 2 multipliziert;"8, } fehlt
7, x statt *
9, _ statt .";252972;1;1;6,5;zweites und drittes Element im Array (0 basierend) werden addiert, wobei das dritte Elem vorher durch 2 geteilt wird;"6, do statt {
7, : statt ;
9, ) zu viel
";289365;1;1;"4
6
1";erstes und letztes Elem im Array tauschen;"10, ! anstatt 1
4, { fehlt
6, : statt .";183050;1;1;5;Addition von Moduloberechnungen;"8, } fehlt
9, : statt .";81978;1;1;10;Vergleich dreier Zahlen und finden der größten;"6, ein & zu viel
10, ( fehlt
9, Sys anstatt System";118357;1;1;1;Finden gleicher Buchstaben in zwei Wörtern;"13, { fehlt
13, ) fehlt
6, <> anstatt !=";191054;1;1;1;Moduloberechnung und 0 zum Wort (initial leer) bei Rest 0, sonst 1;"11, } fehlt
6, then statt {
6, true";10187;16146;26;2009;Männlich;Männlich;Informatik;155252;5;5;5;5;5;5;5;5;5;5;6;7;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;3;81121;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;Ja;Ja;2011;Mobile, Cloud, Web;900-40000;900-40000;900-40000;88982;2;2;2;2;2;1;1;1;1;1;231052;null vom Key
